feature,importance
carrier_cancel_rate_max,0.30380133
carrier_cr_trend,0.09980501
departure_hour,0.060413066
is_rush_hour,0.05636334
monitor_hours,0.052254077
origin_flight_cat_worst,0.045867983
wind_trend,0.044729102
origin_visibility_min,0.03818917
origin_ceiling_min,0.035105854
atc_fraction,0.03429714
day_of_week,0.03332908
total_cycles,0.02912843
carrier_sample_size_max,0.028468197
origin_thunderstorm,0.028055858
origin_wind_max,0.027999096
origin_gust_max,0.027762964
dest_flight_cat_worst,0.027417446
atc_delay_max,0.027013004
month,0.0
carrier_avg_delay_max,0.0
is_weekend,0.0
origin_worsened,0.0
dest_freezing,0.0
dest_thunderstorm,0.0
origin_freezing,0.0
atc_present,0.0
delay_appeared,0.0
current_delay_max,0.0
inbound_delay_max,0.0
is_summer,0.0
