id,proposal_id,type,description,price_estimate,duffel_offer_id,duffel_offer_data
1,1,flight,"Economy Flight: New York to Miami, Miami to New York",171.65,off_0000B3fV7nIcZ6J79qVcCd,"{""id"": ""off_0000B3fV7nIcZ6J79qVcCd"", ""owner"": {""id"": ""arl_00009VME7DAGiJjwomhv32"", ""name"": ""American Airlines"", ""iata_code"": ""AA"", ""logo_lockup_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-lockup/AA.svg"", ""logo_symbol_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg"", ""conditions_of_carriage_url"": ""https://www.aa.com/i18n/customer-service/support/conditions-of-carriage.jsp""}, ""slices"": [{""id"": ""sli_0000B3fV7nIcZ6J79qVcCY"", ""origin"": {""city"": ""New York"", ""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""duration"": ""PT3H14M"", ""segments"": [{""id"": ""seg_0000B3fV7nIcZ6J79qVcCX"", ""origin"": {""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""carrier"": {""iata"": ""AA"", ""name"": ""American Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg""}, ""aircraft"": ""Boeing 737-800"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}, {""type"": ""carry_on"", ""quantity"": 1}], ""arrivingAt"": ""2026-03-11T09:15:00"", ""cabinClass"": ""ECONOMY"", ""departingAt"": ""2026-03-11T06:01:00"", ""destination"": {""iata"": ""MIA"", ""name"": ""Miami International Airport""}, ""flightNumber"": ""1032""}], ""destination"": {""city"": ""Miami"", ""iata"": ""MIA"", ""name"": ""Miami International Airport""}}, {""id"": ""sli_0000B3fV7nIcZ6J79qVcCb"", ""origin"": {""city"": ""Miami"", ""iata"": ""MIA"", ""name"": ""Miami International Airport""}, ""duration"": ""PT3H6M"", ""segments"": [{""id"": ""seg_0000B3fV7nIcZ6J79qVcCa"", ""origin"": {""iata"": ""MIA"", ""name"": ""Miami International Airport""}, ""carrier"": {""iata"": ""AA"", ""name"": ""American Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg""}, ""aircraft"": ""Boeing 737-800"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}, {""type"": ""carry_on"", ""quantity"": 1}], ""arrivingAt"": ""2026-03-21T00:59:00"", ""cabinClass"": ""ECONOMY"", ""departingAt"": ""2026-03-20T21:53:00"", ""destination"": {""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""flightNumber"": ""2077""}], ""destination"": {""city"": ""New York"", ""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}}], ""expiresAt"": ""2026-02-25T04:51:09.000000Z"", ""passengers"": [{""id"": ""pas_0000B3fV76djAkdmqr3MdH"", ""age"": null, ""type"": ""adult"", ""fare_type"": null, ""given_name"": null, ""family_name"": null, ""loyalty_programme_accounts"": []}], ""totalAmount"": ""171.65"", ""totalCurrency"": ""USD""}"
2,1,flight,"Alternative ECONOMY Flight: New York to Miami, Miami to New York (American Airlines)",171.65,off_0000B3fV7nIcZ6J79qVcCU,"{""id"": ""off_0000B3fV7nIcZ6J79qVcCU"", ""owner"": {""id"": ""arl_00009VME7DAGiJjwomhv32"", ""name"": ""American Airlines"", ""iata_code"": ""AA"", ""logo_lockup_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-lockup/AA.svg"", ""logo_symbol_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg"", ""conditions_of_carriage_url"": ""https://www.aa.com/i18n/customer-service/support/conditions-of-carriage.jsp""}, ""slices"": [{""id"": ""sli_0000B3fV7nIcZ6J79qVcCP"", ""origin"": {""city"": ""New York"", ""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""duration"": ""PT3H14M"", ""segments"": [{""id"": ""seg_0000B3fV7nIcZ6J79qVcCO"", ""origin"": {""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""carrier"": {""iata"": ""AA"", ""name"": ""American Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg""}, ""aircraft"": ""Boeing 777-200/200ER"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}, {""type"": ""carry_on"", ""quantity"": 1}], ""arrivingAt"": ""2026-03-11T10:54:00"", ""cabinClass"": ""ECONOMY"", ""departingAt"": ""2026-03-11T07:40:00"", ""destination"": {""iata"": ""MIA"", ""name"": ""Miami International Airport""}, ""flightNumber"": ""2017""}], ""destination"": {""city"": ""Miami"", ""iata"": ""MIA"", ""name"": ""Miami International Airport""}}, {""id"": ""sli_0000B3fV7nIcZ6J79qVcCS"", ""origin"": {""city"": ""Miami"", ""iata"": ""MIA"", ""name"": ""Miami International Airport""}, ""duration"": ""PT3H6M"", ""segments"": [{""id"": ""seg_0000B3fV7nIcZ6J79qVcCR"", ""origin"": {""iata"": ""MIA"", ""name"": ""Miami International Airport""}, ""carrier"": {""iata"": ""AA"", ""name"": ""American Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg""}, ""aircraft"": ""Boeing 737-800"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}, {""type"": ""carry_on"", ""quantity"": 1}], ""arrivingAt"": ""2026-03-21T00:59:00"", ""cabinClass"": ""ECONOMY"", ""departingAt"": ""2026-03-20T21:53:00"", ""destination"": {""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""flightNumber"": ""2077""}], ""destination"": {""city"": ""New York"", ""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}}], ""expiresAt"": ""2026-02-25T04:51:09.000000Z"", ""passengers"": [{""id"": ""pas_0000B3fV76djAkdmqr3MdH"", ""age"": null, ""type"": ""adult"", ""fare_type"": null, ""given_name"": null, ""family_name"": null, ""loyalty_programme_accounts"": []}], ""totalAmount"": ""171.65"", ""totalCurrency"": ""USD""}"
3,1,flight,"Alternative ECONOMY Flight: New York to Miami, Miami to New York (American Airlines)",171.65,off_0000B3fV7nIGaQ1X8kLKf0,"{""id"": ""off_0000B3fV7nIGaQ1X8kLKf0"", ""owner"": {""id"": ""arl_00009VME7DAGiJjwomhv32"", ""name"": ""American Airlines"", ""iata_code"": ""AA"", ""logo_lockup_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-lockup/AA.svg"", ""logo_symbol_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg"", ""conditions_of_carriage_url"": ""https://www.aa.com/i18n/customer-service/support/conditions-of-carriage.jsp""}, ""slices"": [{""id"": ""sli_0000B3fV7nIGaQ1X8kLKev"", ""origin"": {""city"": ""New York"", ""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""duration"": ""PT3H16M"", ""segments"": [{""id"": ""seg_0000B3fV7nIGaQ1X8kLKeu"", ""origin"": {""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""carrier"": {""iata"": ""AA"", ""name"": ""American Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg""}, ""aircraft"": ""Boeing 737 MAX 8 / BBJ MAX 8/MAX200"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}, {""type"": ""carry_on"", ""quantity"": 1}], ""arrivingAt"": ""2026-03-11T18:15:00"", ""cabinClass"": ""ECONOMY"", ""departingAt"": ""2026-03-11T14:59:00"", ""destination"": {""iata"": ""MIA"", ""name"": ""Miami International Airport""}, ""flightNumber"": ""1017""}], ""destination"": {""city"": ""Miami"", ""iata"": ""MIA"", ""name"": ""Miami International Airport""}}, {""id"": ""sli_0000B3fV7nIGaQ1X8kLKey"", ""origin"": {""city"": ""Miami"", ""iata"": ""MIA"", ""name"": ""Miami International Airport""}, ""duration"": ""PT3H6M"", ""segments"": [{""id"": ""seg_0000B3fV7nIGaQ1X8kLKex"", ""origin"": {""iata"": ""MIA"", ""name"": ""Miami International Airport""}, ""carrier"": {""iata"": ""AA"", ""name"": ""American Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/AA.svg""}, ""aircraft"": ""Boeing 737-800"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}, {""type"": ""carry_on"", ""quantity"": 1}], ""arrivingAt"": ""2026-03-21T00:59:00"", ""cabinClass"": ""ECONOMY"", ""departingAt"": ""2026-03-20T21:53:00"", ""destination"": {""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""flightNumber"": ""2077""}], ""destination"": {""city"": ""New York"", ""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}}], ""expiresAt"": ""2026-02-25T04:51:09.000000Z"", ""passengers"": [{""id"": ""pas_0000B3fV76djAkdmqr3MdH"", ""age"": null, ""type"": ""adult"", ""fare_type"": null, ""given_name"": null, ""family_name"": null, ""loyalty_programme_accounts"": []}], ""totalAmount"": ""171.65"", ""totalCurrency"": ""USD""}"
4,1,flight,"Alternative Economy Flight: New York to Miami, Miami to New York (Frontier Airlines)",146.96,off_0000B3fV7BBuFcMCy14iT4,"{""id"": ""off_0000B3fV7BBuFcMCy14iT4"", ""owner"": {""id"": ""arl_00009VME7DC2bj9quHXKpE"", ""name"": ""Frontier Airlines"", ""iata_code"": ""F9"", ""logo_lockup_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-lockup/F9.svg"", ""logo_symbol_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/F9.svg"", ""conditions_of_carriage_url"": ""https://www.flyfrontier.com/legal/contract-of-carriage""}, ""slices"": [{""id"": ""sli_0000B3fV7BBuFcMCy14iSz"", ""origin"": {""city"": ""New York"", ""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""duration"": ""PT3H19M"", ""segments"": [{""id"": ""seg_0000B3fV7BBuFcMCy14iSy"", ""origin"": {""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""carrier"": {""iata"": ""F9"", ""name"": ""Frontier Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/F9.svg""}, ""aircraft"": ""Airbus A320neo"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}], ""arrivingAt"": ""2026-03-11T14:21:00"", ""cabinClass"": ""Economy"", ""departingAt"": ""2026-03-11T11:02:00"", ""destination"": {""iata"": ""MIA"", ""name"": ""Miami International Airport""}, ""flightNumber"": ""1809""}], ""destination"": {""city"": ""Miami"", ""iata"": ""MIA"", ""name"": ""Miami International Airport""}}, {""id"": ""sli_0000B3fV7BBuFcMCy14iT2"", ""origin"": {""city"": ""Miami"", ""iata"": ""MIA"", ""name"": ""Miami International Airport""}, ""duration"": ""PT3H7M"", ""segments"": [{""id"": ""seg_0000B3fV7BBuFcMCy14iT1"", ""origin"": {""iata"": ""MIA"", ""name"": ""Miami International Airport""}, ""carrier"": {""iata"": ""F9"", ""name"": ""Frontier Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/F9.svg""}, ""aircraft"": ""Airbus A321"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}], ""arrivingAt"": ""2026-03-20T10:07:00"", ""cabinClass"": ""Economy"", ""departingAt"": ""2026-03-20T07:00:00"", ""destination"": {""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""flightNumber"": ""4218""}], ""destination"": {""city"": ""New York"", ""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}}], ""expiresAt"": ""2026-02-25T05:21:10.327639Z"", ""passengers"": [{""id"": ""pas_0000B3fV76djAkdmqr3MdH"", ""age"": null, ""type"": ""adult"", ""fare_type"": null, ""given_name"": null, ""family_name"": null, ""loyalty_programme_accounts"": []}], ""totalAmount"": ""146.96"", ""totalCurrency"": ""USD""}"
5,1,flight,"Alternative Economy Flight: New York to Miami, Miami to New York (Frontier Airlines)",142.97,off_0000B3fV7BBuFcMCy14iSR,"{""id"": ""off_0000B3fV7BBuFcMCy14iSR"", ""owner"": {""id"": ""arl_00009VME7DC2bj9quHXKpE"", ""name"": ""Frontier Airlines"", ""iata_code"": ""F9"", ""logo_lockup_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-lockup/F9.svg"", ""logo_symbol_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/F9.svg"", ""conditions_of_carriage_url"": ""https://www.flyfrontier.com/legal/contract-of-carriage""}, ""slices"": [{""id"": ""sli_0000B3fV7BBYGw4cwuuQuj"", ""origin"": {""city"": ""New York"", ""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""duration"": ""PT7H6M"", ""segments"": [{""id"": ""seg_0000B3fV7BBYGw4cwuuQug"", ""origin"": {""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""carrier"": {""iata"": ""F9"", ""name"": ""Frontier Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/F9.svg""}, ""aircraft"": ""Airbus A321neo"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}], ""arrivingAt"": ""2026-03-11T09:12:00"", ""cabinClass"": ""Economy"", ""departingAt"": ""2026-03-11T06:00:00"", ""destination"": {""iata"": ""ATL"", ""name"": ""Hartsfield-Jackson Atlanta International Airport""}, ""flightNumber"": ""4817""}, {""id"": ""seg_0000B3fV7BBYGw4cwuuQui"", ""origin"": {""iata"": ""ATL"", ""name"": ""Hartsfield-Jackson Atlanta International Airport""}, ""carrier"": {""iata"": ""F9"", ""name"": ""Frontier Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/F9.svg""}, ""aircraft"": ""Airbus A321neo"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}], ""arrivingAt"": ""2026-03-11T13:06:00"", ""cabinClass"": ""Economy"", ""departingAt"": ""2026-03-11T10:59:00"", ""destination"": {""iata"": ""MIA"", ""name"": ""Miami International Airport""}, ""flightNumber"": ""2272""}], ""destination"": {""city"": ""Miami"", ""iata"": ""MIA"", ""name"": ""Miami International Airport""}}, {""id"": ""sli_0000B3fV7BBYGw4cwuuQum"", ""origin"": {""city"": ""Miami"", ""iata"": ""MIA"", ""name"": ""Miami International Airport""}, ""duration"": ""PT3H7M"", ""segments"": [{""id"": ""seg_0000B3fV7BBYGw4cwuuQul"", ""origin"": {""iata"": ""MIA"", ""name"": ""Miami International Airport""}, ""carrier"": {""iata"": ""F9"", ""name"": ""Frontier Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/F9.svg""}, ""aircraft"": ""Airbus A321"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}], ""arrivingAt"": ""2026-03-20T10:07:00"", ""cabinClass"": ""Economy"", ""departingAt"": ""2026-03-20T07:00:00"", ""destination"": {""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""flightNumber"": ""4218""}], ""destination"": {""city"": ""New York"", ""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}}], ""expiresAt"": ""2026-02-25T05:21:10.326857Z"", ""passengers"": [{""id"": ""pas_0000B3fV76djAkdmqr3MdH"", ""age"": null, ""type"": ""adult"", ""fare_type"": null, ""given_name"": null, ""family_name"": null, ""loyalty_programme_accounts"": []}], ""totalAmount"": ""142.97"", ""totalCurrency"": ""USD""}"
6,2,other,Travel planning - details pending from concierge call,0.00,,
7,3,other,Travel planning - details pending from concierge call,0.00,,
8,4,other,Travel planning - details pending from concierge call,0.00,,
9,5,other,Travel planning - details pending from concierge call,0.00,,
11,7,flight,"Economy Flight: New York to Los Angeles, Ontario to New York",495.40,off_0000B3hOjBmK37GZxmZZ52,"{""id"": ""off_0000B3hOjBmK37GZxmZZ52"", ""owner"": {""id"": ""arl_00009VME7DCOaPRQvNhcMc"", ""name"": ""Hawaiian Airlines"", ""iata_code"": ""HA"", ""logo_lockup_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-lockup/HA.svg"", ""logo_symbol_url"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/HA.svg"", ""conditions_of_carriage_url"": ""https://www.hawaiianairlines.com/legal/international-contract-of-carriage""}, ""slices"": [{""id"": ""sli_0000B3hOjBmK37GZxmZZ4w"", ""origin"": {""city"": ""New York"", ""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""duration"": ""PT9H59M"", ""segments"": [{""id"": ""seg_0000B3hOjBmK37GZxmZZ4u"", ""origin"": {""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""carrier"": {""iata"": ""HA"", ""name"": ""Hawaiian Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/HA.svg""}, ""aircraft"": ""Boeing 737-900 (winglets)/BBJ3"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}, {""type"": ""carry_on"", ""quantity"": 1}], ""arrivingAt"": ""2026-02-27T20:33:00"", ""cabinClass"": ""MAIN"", ""departingAt"": ""2026-02-27T17:00:00"", ""destination"": {""iata"": ""PDX"", ""name"": ""Portland International Airport""}, ""flightNumber"": ""4987""}, {""id"": ""seg_0000B3hOjBmK37GZxmZZ4v"", ""origin"": {""iata"": ""PDX"", ""name"": ""Portland International Airport""}, ""carrier"": {""iata"": ""HA"", ""name"": ""Hawaiian Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/HA.svg""}, ""aircraft"": ""Boeing 737-900 (winglets)/BBJ3"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}, {""type"": ""carry_on"", ""quantity"": 1}], ""arrivingAt"": ""2026-02-27T23:59:00"", ""cabinClass"": ""CABIN"", ""departingAt"": ""2026-02-27T21:30:00"", ""destination"": {""iata"": ""LAX"", ""name"": ""Los Angeles International Airport""}, ""flightNumber"": ""6448""}], ""destination"": {""city"": ""Los Angeles"", ""iata"": ""LAX"", ""name"": ""Los Angeles International Airport""}}, {""id"": ""sli_0000B3hOjBmK37GZxmZZ50"", ""origin"": {""city"": ""Ontario"", ""iata"": ""ONT"", ""name"": ""Ontario International Airport""}, ""duration"": ""PT9H47M"", ""segments"": [{""id"": ""seg_0000B3hOjBmK37GZxmZZ4y"", ""origin"": {""iata"": ""ONT"", ""name"": ""Ontario International Airport""}, ""carrier"": {""iata"": ""HA"", ""name"": ""Hawaiian Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/HA.svg""}, ""aircraft"": ""Boeing 737 MAX 9 / BBJ MAX 9"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}, {""type"": ""carry_on"", ""quantity"": 1}], ""arrivingAt"": ""2026-03-07T09:09:00"", ""cabinClass"": ""MAIN"", ""departingAt"": ""2026-03-07T06:14:00"", ""destination"": {""iata"": ""SEA"", ""name"": ""Seattle-Tacoma International Airport""}, ""flightNumber"": ""6361""}, {""id"": ""seg_0000B3hOjBmK37GZxmZZ4z"", ""origin"": {""iata"": ""SEA"", ""name"": ""Seattle-Tacoma International Airport""}, ""carrier"": {""iata"": ""HA"", ""name"": ""Hawaiian Airlines"", ""logoUrl"": ""https://assets.duffel.com/img/airlines/for-light-background/full-color-logo/HA.svg""}, ""aircraft"": ""Boeing 737 MAX 9 / BBJ MAX 9"", ""baggages"": [{""type"": ""checked"", ""quantity"": 0}, {""type"": ""carry_on"", ""quantity"": 1}], ""arrivingAt"": ""2026-03-07T19:01:00"", ""cabinClass"": ""CABIN"", ""departingAt"": ""2026-03-07T10:44:00"", ""destination"": {""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}, ""flightNumber"": ""6745""}], ""destination"": {""city"": ""New York"", ""iata"": ""JFK"", ""name"": ""John F. Kennedy International Airport""}}], ""expiresAt"": ""2026-02-26T02:38:57.000000Z"", ""passengers"": [{""id"": ""pas_0000B3hOinAvWV5peqtMSQ"", ""age"": null, ""type"": ""adult"", ""fare_type"": null, ""given_name"": null, ""family_name"": null, ""loyalty_programme_accounts"": []}], ""totalAmount"": ""495.40"", ""totalCurrency"": ""USD""}"
