id,monitored_flight_id,score,tier,signals,scored_at,tail_number,equipment_type
1,1,19,green,"{""signals"": {""originWeather"": 2, ""timeOfDayRisk"": 5, ""historicalRisk"": 10, ""destinationWeather"": 2, ""inboundAircraftDelay"": 0}, ""cancelled"": false, ""flightStatus"": {""status"": ""Scheduled"", ""cancelled"": false, ""delayMinutes"": 0, ""departureTime"": ""2026-05-18 21:11Z"", ""inboundDelayMinutes"": 0}, ""originWeather"": {""ceilingFt"": 99999, ""gustSpeedKt"": 0, ""hasFreezing"": false, ""windSpeedKt"": 19, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false, ""visibilityMiles"": 10}, ""destinationWeather"": {""hasFreezing"": false, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false}}",2026-05-17 21:33:41.424572,,
2,1,19,green,"{""signals"": {""originWeather"": 2, ""timeOfDayRisk"": 5, ""historicalRisk"": 10, ""destinationWeather"": 2, ""inboundAircraftDelay"": 0}, ""cancelled"": false, ""flightStatus"": {""status"": ""Scheduled"", ""cancelled"": false, ""delayMinutes"": 0, ""departureTime"": ""2026-05-18 21:11Z"", ""inboundDelayMinutes"": 0}, ""originWeather"": {""ceilingFt"": 99999, ""gustSpeedKt"": 0, ""hasFreezing"": false, ""windSpeedKt"": 19, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false, ""visibilityMiles"": 10}, ""destinationWeather"": {""hasFreezing"": false, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false}}",2026-05-17 21:35:27.38185,,
3,1,75,red,"{""signals"": {""originWeather"": 21, ""timeOfDayRisk"": 3, ""historicalRisk"": 5, ""destinationWeather"": 8, ""inboundAircraftDelay"": 40}, ""cancelled"": false, ""simulated"": true, ""flightStatus"": {""status"": ""Simulated"", ""cancelled"": false, ""delayMinutes"": 90, ""departureTime"": ""21:11"", ""inboundDelayMinutes"": 90}, ""originWeather"": {""hasFreezing"": false, ""flightCategory"": ""IFR"", ""hasThunderstorm"": true}, ""simulatedReason"": ""Manual simulation from detail page"", ""destinationWeather"": {""hasFreezing"": false, ""flightCategory"": ""MVFR"", ""hasThunderstorm"": false}}",2026-05-17 21:35:52.816019,,
4,1,19,green,"{""signals"": {""originWeather"": 2, ""timeOfDayRisk"": 5, ""historicalRisk"": 10, ""destinationWeather"": 2, ""inboundAircraftDelay"": 0}, ""cancelled"": false, ""flightStatus"": {""status"": ""Scheduled"", ""cancelled"": false, ""delayMinutes"": 0, ""departureTime"": ""2026-05-18 21:11Z"", ""inboundDelayMinutes"": 0}, ""originWeather"": {""ceilingFt"": 25000, ""gustSpeedKt"": 0, ""hasFreezing"": false, ""windSpeedKt"": 17, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false, ""visibilityMiles"": 10}, ""destinationWeather"": {""hasFreezing"": false, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false}}",2026-05-17 22:01:40.022404,,
5,1,19,green,"{""signals"": {""originWeather"": 2, ""timeOfDayRisk"": 5, ""historicalRisk"": 10, ""destinationWeather"": 2, ""inboundAircraftDelay"": 0}, ""cancelled"": false, ""flightStatus"": {""status"": ""Scheduled"", ""cancelled"": false, ""delayMinutes"": 0, ""departureTime"": ""2026-05-18 21:11Z"", ""inboundDelayMinutes"": 0}, ""originWeather"": {""ceilingFt"": 25000, ""gustSpeedKt"": 0, ""hasFreezing"": false, ""windSpeedKt"": 17, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false, ""visibilityMiles"": 10}, ""destinationWeather"": {""hasFreezing"": false, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false}}",2026-05-17 22:31:40.624034,,
6,1,19,green,"{""signals"": {""originWeather"": 2, ""timeOfDayRisk"": 5, ""historicalRisk"": 10, ""destinationWeather"": 2, ""inboundAircraftDelay"": 0}, ""cancelled"": false, ""flightStatus"": {""status"": ""Scheduled"", ""cancelled"": false, ""delayMinutes"": 0, ""departureTime"": ""2026-05-18 21:11Z"", ""inboundDelayMinutes"": 0}, ""originWeather"": {""ceilingFt"": 99999, ""gustSpeedKt"": 0, ""hasFreezing"": false, ""windSpeedKt"": 15, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false, ""visibilityMiles"": 10}, ""destinationWeather"": {""hasFreezing"": false, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false}}",2026-05-17 22:53:19.32704,,
7,1,19,green,"{""signals"": {""originWeather"": 2, ""timeOfDayRisk"": 5, ""historicalRisk"": 10, ""destinationWeather"": 2, ""inboundAircraftDelay"": 0}, ""cancelled"": false, ""flightStatus"": {""status"": ""Scheduled"", ""cancelled"": false, ""delayMinutes"": 0, ""departureTime"": ""2026-05-18 21:11Z"", ""inboundDelayMinutes"": 0}, ""originWeather"": {""ceilingFt"": 99999, ""gustSpeedKt"": 0, ""hasFreezing"": false, ""windSpeedKt"": 15, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false, ""visibilityMiles"": 10}, ""destinationWeather"": {""hasFreezing"": false, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false}}",2026-05-17 23:25:30.26268,,
8,1,19,green,"{""signals"": {""originWeather"": 2, ""timeOfDayRisk"": 5, ""historicalRisk"": 10, ""destinationWeather"": 2, ""inboundAircraftDelay"": 0}, ""cancelled"": false, ""flightStatus"": {""status"": ""Scheduled"", ""cancelled"": false, ""delayMinutes"": 0, ""departureTime"": ""2026-05-18 21:11Z"", ""inboundDelayMinutes"": 0}, ""originWeather"": {""ceilingFt"": 99999, ""gustSpeedKt"": 0, ""hasFreezing"": false, ""windSpeedKt"": 6, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false, ""visibilityMiles"": 10}, ""destinationWeather"": {""hasFreezing"": false, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false}}",2026-05-17 23:54:39.563218,,
9,1,19,green,"{""signals"": {""originWeather"": 2, ""timeOfDayRisk"": 5, ""historicalRisk"": 10, ""destinationWeather"": 2, ""inboundAircraftDelay"": 0}, ""cancelled"": false, ""flightStatus"": {""status"": ""Scheduled"", ""cancelled"": false, ""delayMinutes"": 0, ""departureTime"": ""2026-05-18 21:11Z"", ""inboundDelayMinutes"": 0}, ""originWeather"": {""ceilingFt"": 99999, ""gustSpeedKt"": 0, ""hasFreezing"": false, ""windSpeedKt"": 5, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false, ""visibilityMiles"": 10}, ""destinationWeather"": {""hasFreezing"": false, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false}}",2026-05-18 01:17:41.840973,,
10,2,19,green,"{""signals"": {""originWeather"": 2, ""timeOfDayRisk"": 5, ""historicalRisk"": 10, ""destinationWeather"": 2, ""inboundAircraftDelay"": 0}, ""cancelled"": false, ""flightStatus"": {""status"": ""Unknown"", ""cancelled"": false, ""delayMinutes"": 0, ""departureTime"": ""2026-05-18 21:11Z"", ""inboundDelayMinutes"": 0}, ""originWeather"": {""ceilingFt"": 99999, ""gustSpeedKt"": 0, ""hasFreezing"": false, ""windSpeedKt"": 5, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false, ""visibilityMiles"": 10}, ""destinationWeather"": {""hasFreezing"": false, ""flightCategory"": ""VFR"", ""hasThunderstorm"": false}}",2026-05-18 15:58:28.674692,,
